English_Name,Score,Votes,Favourites_count,Popularity_ranking
Akame ga Kill!,5.5,1086769,,29
Angel Beats!,5.5,1132672,,20
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,5.5,850589,,55
Another,5.5,852535,,50
Ansatsu Kyoushitsu,5.5,948094,,34
Ansatsu Kyoushitsu 2nd Season,5.5,707818,,85
Ao no Exorcist,5.5,1001937,,32
Bakemonogatari,5.5,645243,,76
Black Clover,5.5,587909,,78
Bleach,5.5,896662,,40
Boku dake ga Inai Machi,5.5,1112086,,30
Boku no Hero Academia,5.5,1686873,,6
Boku no Hero Academia 2nd Season,5.5,1417154,,14
Boku no Hero Academia 3rd Season,5.5,1156647,,24
Boku no Hero Academia 4th Season,5.5,816034,,59
Bungou Stray Dogs,5.5,524847,,100
Charlotte,5.5,806486,,61
Chuunibyou demo Koi ga Shitai!,5.5,664824,,83
Clannad,5.5,676730,,73
Clannad: After Story,5.5,584185,,99
Code Geass: Hangyaku no Lelouch,5.5,1177972,,17
Code Geass: Hangyaku no Lelouch R2,5.5,1005875,,46
Cowboy Bebop,5.5,762707,,44
Darling in the FranXX,5.5,805139,,64
Deadman Wonderland,5.5,607567,,90
Death Note,5.5,2252838,145023.0,1
Death Parade,5.5,837825,,48
Dr. Stone,5.5,788369,,63
Dragon Ball Z,5.5,724539,30704.0,97
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,5.5,800923,,69
Durarara!!,5.5,602971,,74
Elfen Lied,5.5,783137,21792.0,58
Fairy Tail,5.5,893284,,42
Fate/Zero,5.5,734053,,67
Fullmetal Alchemist,5.5,800042,23847.0,62
Fullmetal Alchemist: Brotherhood,5.5,1720086,190243.0,3
Guilty Crown,5.5,570676,,92
Haikyuu!!,5.5,974477,,37
Haikyuu!! Second Season,5.5,758512,,84
Hataraku Maou-sama!,5.5,791108,,68
High School DxD,5.5,763836,,79
Highschool of the Dead,5.5,818503,,66
Howl no Ugoku Shiro,5.5,718960,,95
Hunter x Hunter (2011),5.5,1349437,,10
Hyouka,5.5,533828,,86
JoJo no Kimyou na Bouken (TV),5.5,815576,,70
Jujutsu Kaisen (TV),5.5,984960,58373.0,38
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,5.5,794782,,71
Kaichou wa Maid-sama!,5.5,625617,,93
Kakegurui,5.5,711363,8742.0,82
Kill la Kill,5.5,822014,,47
Kimetsu no Yaiba,5.5,1464565,,11
Kimi no Na wa.,5.5,1522405,,9
Kiseijuu: Sei no Kakuritsu,5.5,947053,,41
Koe no Katachi,5.5,1248508,,23
Kono Subarashii Sekai ni Shukufuku wo!,5.5,1036259,,36
Kono Subarashii Sekai ni Shukufuku wo! 2,5.5,816095,,77
Made in Abyss,5.5,562619,,94
Mahou Shoujo Madoka★Magica,5.5,645495,,88
Mirai Nikki (TV),5.5,1066174,,25
Mob Psycho 100,5.5,972126,,35
Mob Psycho 100 II,5.5,695488,,87
Nanatsu no Taizai,5.5,1129566,,28
Naruto,5.5,1609708,64229.0,8
Naruto: Shippuuden,5.5,1302681,,16
Neon Genesis Evangelion,5.5,849109,,49
No Game No Life,5.5,1324856,,15
Noragami,5.5,1085330,,19
Noragami Aragoto,5.5,764545,,75
One Piece,5.5,967563,144490.0,27
One Punch Man,5.5,1820592,,5
One Punch Man 2nd Season,5.5,746492,,65
Overlord,5.5,752544,,72
Owari no Seraph,5.5,597308,,89
Psycho-Pass,5.5,681688,,53
Re:Zero kara Hajimeru Isekai Seikatsu,5.5,1167203,,21
Sakura-sou no Pet na Kanojo,5.5,616800,,91
Samurai Champloo,5.5,543973,30823.0,96
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,5.5,834850,,60
Sen to Chihiro no Kamikakushi,5.5,1056529,,43
Shigatsu wa Kimi no Uso,5.5,1103774,,22
Shingeki no Kyojin,5.5,2260568,,2
Shingeki no Kyojin Season 2,5.5,1436232,,13
Shingeki no Kyojin Season 3,5.5,1179251,,26
Shingeki no Kyojin Season 3 Part 2,5.5,1135478,,33
Shingeki no Kyojin: The Final Season,5.5,881710,,57
Shokugeki no Souma,5.5,855262,,52
Soul Eater,5.5,742028,,51
Steins;Gate,5.5,1161927,,12
Sword Art Online,5.5,1844963,,4
Sword Art Online II,5.5,1142037,,31
Tate no Yuusha no Nariagari,5.5,740042,,80
Tengen Toppa Gurren Lagann,5.5,781662,,54
Tensei shitara Slime Datta Ken,5.5,634533,,98
Tokyo Ghoul,5.5,1556396,44057.0,7
Tokyo Ghoul √A,5.5,1022299,9626.0,45
Toradora!,5.5,1169578,,18
Violet Evergarden,5.5,738103,,56
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,5.5,707739,,81
Yakusoku no Neverland,5.5,1008174,,39
